Beach,Date,Time,Long,Lat,Type
"Caves, Koegel Bay",8-Sep,1.40pm,18.822123,-34.231324,Past Sighting
"Caves, Kogel Bay",26-Dec,12.22pm,18.798187,-34.220159,Past Sighting
"Caves, Kogel Bay",22-Dec,3.25pm,18.802689,-34.205595,Past Sighting
"Caves, Kogel Bay",20-Dec,12.40pm,18.811838,-34.243806,Past Sighting
"Caves, Kogel Bay",17-Dec,13.15pm,18.813031,-34.233815,Past Sighting
"Caves, Kogel Bay",19-Nov,4.20pm,18.810774,-34.217291,Past Sighting
"Caves, Kogel Bay",5-Nov,15:15pm,18.814064,-34.225319,Past Sighting
"Caves, Kogel Bay",5-Nov,1.36pm,18.80862,-34.230049,Past Sighting
"Caves,Kogel Bay",3-Nov,2:29pm,18.818613,-34.238316,Past Sighting
Clovelly,9-Jan,1.29pm,18.44237,-34.134553,Past Sighting
Clovelly,2-Jan,10.40am,18.440732,-34.137128,Past Sighting
Clovelly,26-Dec,11.05am,18.442617,-34.136341,Past Sighting
Clovelly,23-Dec,3.45pm,18.440372,-34.135271,Past Sighting
Clovelly,22-Dec,4.25pm,18.443988,-34.135275,Past Sighting
Clovelly,21-Dec,4.59pm,18.441542,-34.136074,Past Sighting
Clovelly,21-Dec,3.41pm,18.439842,-34.137475,Past Sighting
Clovelly,16-Dec,1.15pm,18.439836,-34.136337,Past Sighting
Clovelly,13-Oct,10.15am,18.441464,-34.134106,Past Sighting
Clovelly,6-Oct,4.15pm,18.442179,-34.135363,Past Sighting
Clovelly,6-Oct,10.50am,18.443871,-34.13643,Past Sighting
Clovelly,18-Dec,1.45pm,18.441091,-34.136603,Past Sighting
Fish Hoek,13-Feb,5.23pm,18.4364,-34.142837,Past Sighting
Fish Hoek,21-Dec,2.25pm,18.436231,-34.142064,Past Sighting
Fish Hoek,16-Dec,1.55pm,18.436477,-34.142837,Past Sighting
Fish Hoek,10-Nov,1.30pm,18.434765,-34.141186,Past Sighting
Fish Hoek,10-Nov,1.10pm,18.435394,-34.141853,Past Sighting
Fish Hoek,4-Nov,1.30pm,18.43594,-34.141491,Past Sighting
Fish Hoek,3-Nov,2:50pm,18.435154,-34.140957,Past Sighting
Fish Hoek,30-Sep,11.25am,18.435015,-34.14216,Past Sighting
Fish Hoek,11-Sep,10am,18.434477,-34.140261,Past Sighting
Fish Hoek,10-Sep,2.35pm,18.435228,-34.140169,Past Sighting
Fish Hoek,9-Sep,9.15am,18.435645,-34.142542,Past Sighting
Fish Hoek,22-Feb,1.54pm,18.435695,-34.142502,Latest Sighting
Glencairn,28-Dec,12.30pm,18.433378,-34.162386,Past Sighting
Glencairn,21-Dec,2.39pm,18.431194,-34.162453,Past Sighting
Glencairn,16-Dec,11.23am,18.433588,-34.162837,Past Sighting
Glencairn,13-Dec,11.55pm,18.433466,-34.163254,Past Sighting
Glencairn,2-Dec,9.09am,18.433335,-34.162749,Past Sighting
Glencairn,11-Nov,2.30pm,18.433682,-34.163153,Past Sighting
"The Hoek, Noordhoek",4-Dec,1.56pm,18.351227,-34.099372,Past Sighting
Monwabisi,21-Dec,12.13pm,18.749425,-34.087307,Past Sighting
Muizenberg,8-Feb-13,4.28pm,18.478507,-34.11006,Past Sighting
Muizenberg,6-Feb,12.20pm,18.476597,-34.111588,Past Sighting
Muizenberg,9-Jan,11.14am,18.483675,-34.107951,Past Sighting
Muizenberg,9-Jan,10.42am,18.479867,-34.108901,Past Sighting
Muizenberg,3-Jan,12.55pm,18.478507,-34.11056,Past Sighting
Muizenberg,2-Jan,12.35pm,18.473916,-34.111232,Past Sighting
Muizenberg,28-Dec,14.20pm,18.476557,-34.111588,Past Sighting
Muizenberg,21-Dec,12.35pm,18.482364,-34.109075,Past Sighting
Muizenberg,1-Dec,11h33,18.486427,-34.10715,Past Sighting
Muizenberg,18-Nov,1.35pm,18.475031,-34.112657,Past Sighting
Muizenberg,13-Nov,1.30pm,18.48143,-34.108036,Past Sighting
Muizenberg,9-Nov,3.16pm,18.478241,-34.111861,Past Sighting
Muizenberg,4-Nov,2.13pm,18.48037,-34.110074,Past Sighting
Muizenberg,3-Nov,13.12pm,18.487552,-34.107377,Past Sighting
Muizenberg,2-Nov,12.30pm,18.473233,-34.112879,Past Sighting
muizenberg,28-Oct,12.08pm,18.481327,-34.109952,Past Sighting
Muizenberg,8-Oct,10.30am,18.488553,-34.106047,Past Sighting
Muizenberg,8-Oct,9.55am,18.489565,-34.106328,Past Sighting
Muizenberg,22-Sep,12.15pm,18.485203,-34.108651,Past Sighting
Muizenberg,20-Sep,11.10am,18.484786,-34.107419,Past Sighting
St James,2-Jan,11.40am,18.459312,-34.122061,Past Sighting
St James,21-Dec,3.08pm,18.458936,-34.122771,Past Sighting
St James,21-Dec,10.15am,18.460803,-34.121383,Past Sighting
St James,1-Dec,13h50,18.459996,-34.122546,Past Sighting
St james,1-Dec,11h15,18.462019,-34.120264,Past Sighting
St James,2-Nov,9.40pm,18.46327,-34.120002,Past Sighting
St James,4-Nov,11.20am,18.460916,-34.120436,Past Sighting
"The Hoek, Noordhoek",13-Oct,3.30pm,18.350966,-34.101797,Past Sighting